"Company","Leader name","Domain","1) Company Enrich - Linkedin","1) Company Enrich - Employee Range","1) Company Enrich - Description","2) Company Type (2)","2) Company Type - response","3) Company Revenue Model(s)","3) Company Revenue Model(s) - response","4) Company Revenue","4) Enrich Church - Lead Pastor Name","4) Enrich Church - Member Count","4) Enrich Church - Church Denomination","4) Enrich Church - Physical Location Count","Facebook (Company)","Instagram (Company)","7) Instagram Followers","8) Company's media involvement","ENR - Audio Distribution Channels","Audio distribution channel names","audio distribution channel types","Find cumulative ad spend for a company","Sumadspend - Advertisers","Apple Podcast Link","Apple Podcast Link apple Podcast Url","Apple podcast - Avg Uploads (6 Months)","Company Tech Stack","11) Podcast Audience Metrics","Competitive Solutions in Use","Competitive Solutions in Use - response"
"RealFaith Ministries","Mark Driscoll","realfaith.com","https://www.linkedin.com/company/realfaith","11-50 employees","At RealFaith, we’re all about changing lives with practical truth. From best-selling books to viral sermons, to in-depth classes and videos, our Bible-based resources help hundreds of millions of people around the globe each year to deepen their faith, love their family, and leave a legacy.

We are a nonprofit organization focused on content distribution, primarily centered around the teaching ministry of Pastor Mark Driscoll. Our mission is to transform lives through practical biblical truths. 

In 2024, we garnered over 1.5 billion impressions and reached 123 million people. Additionally, we have distributed 50,000 books to support spiritual growth, and we are experiencing rapid growth at a rate of ~75% year-over-year. 

RealFaith is a team of young, talented individuals coming together from various industries, including Facebook, Disney, startups, sales, and social media. We pride ourselves on our ability to scale rapidly, a feat typically seen only in tech growth companies.

Our ultimate goal is to become the second most impactful Bible teaching ministry ever, second only to Jesus.","Response","Media Ministry","Donations, Transactional","Donations, Transactional","Less than $1M",,,,,,"https://www.instagram.com/markdriscoll/","1300000","TV, Radio","{""name"":""RealFaith App (iOS)"",""url"":""https://apps.apple.com/us/app/realfaith/id1263652381"",""frequ...","Realfaith App Ios, Realfaith App Android, Realfaith Content Hub, Youtube, Spotify, Apple Podcasts, Spreaker","Mobile App, Streaming Platform, Podcast Directory","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://realfaith.com/howdy/"",""evidenceSnippet"":""Joi...","RealFaith Ministries is a customer/user of bible.com (YouVersion/Bible.com). The strongest evidence is RealFaiths own site pages that link to and promote Bible.com/YouVersion reading plans."
"Redemption Church","Roy Edwards","redemptioncg.org","https://www.linkedin.com/company/redemption-church-casa-grande",,,"Response","Church","Donations","Donations","$1M - $5M",,,,,,"https://www.instagram.com/redemption_church_cg/","281","Both","{""name"":""Podbean"",""url"":""https://pastorroye.podbean.com/"",""frequency"":null,""marketCity"":null,""cha...","Podbean, Podbean Rss Feed, Apple Podcasts, Spotify, Amazon Music, Youtube, Youtube","Podcast Directory, Streaming Platform","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://play.google.com/store/apps/details?id=io.e...","Redemption Church (redemptioncg.org) is a customer/user of pushpay.com. No explicit evidence was found linking Redemption Church to any of the other companies in the provided list."
"Restoring Issachar’s Generation","Tomi Arayomi","rigglobal.org",,,,"Response","Church","Donations, Grants","Donations, Grants",,,,,,,"https://www.instagram.com/rigdfw/","1842","No radio or TV programming details available for Restoring Issachar’s Generation","{""name"":""YouTube"",""url"":""https://www.youtube.com/@rignationusa/streams"",""frequency"":null,""marketC...","Youtube, Youtube, Youtube, Facebook, Rig Global App Ios, Rig Global App Android","Streaming Platform, Mobile App","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://rigglobal.org/"",""evidenceSnippet"":""\""Give ...","RIG Global (Restoring Issachar’s Generation, rigglobal.org) is a customer/user of pushpay.com. No other matches were found."
"Richard Ellis Talks","Richard Ellis","richardellistalks.com",,,,"Response","Media Ministry","Donations/Contributions (nonprofit)","Donations/Contributions (nonprofit)",,,,,,,"https://www.instagram.com/talkwithrichard/","1123","Radio","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/richard-ellis-talks/id62639...","Apple Podcasts, Spotify, Youtube, Oneplace, Tunein, Iheartradio Prayradio, Pray Com, Amazon Alexa Oneplace Skill, Richardellistalks Com","Podcast Directory, Streaming Platform, Online Radio, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/richard-ellis-talks/id626398296","https://podcasts.apple.com/us/podcast/richard-ellis-talks/id626398296","30","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Summary of research and conclusion: I searched Richard Ellis Talks (canonical domain: https://richardellistalks.com — no redirect) and credible third-party sources to find explicit, unambiguous evidence that Richard Ellis Talks (richardellistalks.com) is a customer, partner, or user of any company in the provided list (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org). Steps taken: 1) Visited the canonical website (https://richardellistalks.com/) and inspected primary pages and site structure: home, talks (/talks/), connect (/connect/), and other site pages (privacy, contribute, donor dashboard). I followed the domain directly; it does not redirect elsewhere. 2) Performed site-limited searches (site:richardellistalks.com) for keywords noted in the instructions: ""case study"", ""customer"", ""client"", ""partner"", ""uses"", ""powered by"", ""integrates with"", and brand name/brand-variant queries (e.g., ""youversion"", ""pushpay"", ""simplecast"", ""rightnowmedia"", ""cbn"", ""tbn"", etc.). 3) Performed web-wide searches combining the exact organization name ""Richard Ellis Talks"" and the domain string ""richardellistalks.com"" with each brand/brand-variant from the list (e.g., ""Richard Ellis Talks"" ""Pushpay"", ""Richard Ellis Talks"" ""YouVersion"", etc.). 4) Checked credible third-party directories and media where Richard Ellis Talks appears (podcast directories and ministry directories) to confirm the organization identity and public presence, and to look for any partner/customer notes on those pages. Findings and analysis: - The Richard Ellis Talks site is an active nonprofit ministry site (homepage, talks archive, connect page, donate/donor dashboard). The site content and navigation do not include pages or sections naming customers, clients, partners, technology stack, case studies, or logo walls that reference any of the companies in the provided list. - Site search queries (site:richardellistalks.com with brand names and partner/customer keywords) returned no pages that explicitly state a customer/partner relationship with any company in the provided list. - Web-wide searches combining ""Richard Ellis Talks"" or ""richardellistalks.com"" with each brand/brand-variant from the list produced no explicit case studies, testimonials, partner pages, press releases, or customer listings on the listed companies’ domains that name Richard Ellis Talks. - Third-party pages (for example OnePlace and Apple Podcasts) confirm Richard Ellis Talks' identity and distribution (radio/podcast listings) but do not show any explicit customer/partner relationship with the listed companies. Conclusion: No explicit, unambiguous evidence was found that Richard Ellis Talks (richardellistalks.com) is a customer, partner, or user of any company in the provided list. Based on the searches and site inspections described above, the correct extraction is: None found. Result: None found (If you would like, I can output the final JSON array in the exact requested format next.)"
"Richard Roberts Ministries","Richard & Lindsay Roberts","richardroberts.org","https://www.linkedin.com/company/oral-roberts-ministries",,,"Response","Media Ministry","Donations/Contributions, Program service revenue, Royalties/Licensing, Sales/One-time","Donations/Contributions, Program service revenue, Royalties/Licensing, Sales/One-time","$0-$1M",,,,,,"https://www.instagram.com/richardrobertsofficial/","23100","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/expect-a-miracle-with-richa...","Apple Podcasts, Spotify, Charisma Podcast Network, Rss Com, Youtube, Facebook, Victory Channel Govictory, Govictory Ios, Govictory Android, The Healing Network Ios, The Healing Network Android, Miracles Television Ios, Miracles Television Roku Channel, Omny Prayradio, Directv, Dish, Glorystar, Loveworld Usa On Demand, Wvlr Ctn Tv 48 Knoxville Tn, Wfgc Channel 61","Podcast Directory, Streaming Platform, Mobile App, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/expect-a-miracle-with-richard-roberts/id1545716022","https://podcasts.apple.com/us/podcast/expect-a-miracle-with-richard-roberts/id1545716022","0.7","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://play.google.com/store/apps/details?id=io.p...","Richard Roberts Ministries (richardroberts.org) is a customer of pushpay.com. This association is explicitly evidenced by the ministry's Android app listing on Google Play, where the app's package and privacy link reference Pushpay. No explicit evidence was found linking Richard Roberts Ministries to any of the other companies in the provided list."
"RickWiles.com LLC","Rick Wiles","rickwiles.com",,,,"Response","Media Ministry","Donations, Subscription, Transactional","Donations, Subscription, Transactional",,,,,,,"https://www.instagram.com/realrickwiles/","4347","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/morning-manna/id1827038182""...","Apple Podcasts, Spreaker, Spotify, Player Fm, Youtube, Direct Tv Channel 373, Rickwiles Com","Podcast Directory, Streaming Platform, Other, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/morning-manna/id1827038182","https://podcasts.apple.com/us/podcast/morning-manna/id1827038182","3.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","After exhaustive site-targeted and company-site searches, I found no explicit, authoritative evidence that RickWiles.com LLC (rickwiles.com) is a customer, partner, or listed user of any company on the provided list. Planned final extraction: [{ ""matchedCompany"": ""None found"" }]."
"Risen Life Church","Michael Morisi","risenlife.us",,,,"Response","Church","Donations, Transactional, Event-based","Donations, Transactional, Event-based",,,,,,,"https://www.instagram.com/risenlife.church/","433","Both","{""name"":""Risen Life (website) - Media / Sermons"",""url"":""https://risenlife.us/podcasts/media"",""fre...","Risen Life Website Media Sermons, Apple Podcasts, Spotify, Amazon Music Podcasts, Podcast Addict, Podcastindex Org, Rss Feed Seriesengine, Youtube, Apple Podcasts","Streaming Platform, Podcast Directory, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/risen-life-church-podcast/id491952389","https://podcasts.apple.com/us/podcast/risen-life-church-podcast/id491952389","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":""None found"",""evidenceSnippet"":""None found""}","Risen Life Church is not explicitly identified as a customer of any of the specified companies based on the available public information."
"RK Media","Dr. Nick Gatzke","rkmedia.co","https://www.linkedin.com/company/rkmediaco","11-50 employees","RK Media is a full-service agency that specializes in producing quality Christian programming for today's media. Working with our ministry clients and radio and television stations, our services include media time purchasing, station relations, broadcasting copy writing, editing and production, marketing and fundraising strategic planning, and direct mail content design. 

The influence of RK Media can be measured by the distinguished ministries we’re privileged to represent and the exceptional team assembled to serve them.","Response","Agency","Retainer (Subscription), One-time project/service fees, Commission on media buys","Retainer (Subscription), One-time project/service fees, Commission on media buys","$1M - $5M",,,,,"http://www.facebook.com/rkmediaco","https://www.instagram.com/rkmedia.in/","2425","Radio and TV","{""name"":""Amb-OS"",""url"":null,""frequency"":null,""marketCity"":null,""channelType"":""radioStation"",""show...","Amb Os, Ftp, Amb Os, Ftp, Amb Os, Ftp, Youtube","Radio Station, Other, Streaming Platform","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found."
"Rock Church","Miles McPherson","sdrock.com","https://www.linkedin.com/company/therocksandiego","51-200 employees","The Rock is a multicultural church dedicated to helping people Know God, Grow in Community, and Make a Difference. 

We currently have five campuses in San Diego, California (Point Loma, San Marcos, El Cajon, Chula Vista, and City Heights) as well as one campus in Oahu, Hawaii. Miles McPherson, a former NFL player, has served as senior pastor since he founded the church in 2000.","Response","Church","Donations, Retail/Merchandise Sales, Events/Ticketing/Fundraising, Sponsorships/Grants","Donations, Retail/Merchandise Sales, Events/Ticketing/Fundraising, Sponsorships/Grants","$10M - $25M","Miles McPherson",19000,"Non-denominational",6,"https://www.facebook.com/therocksandiego","https://www.instagram.com/therocksandiego/","66000","Both","{""name"":""Apple Podcasts"",""url"":""https://itunes.apple.com/podcast/rock-church-weekend-messages-w-p...","Apple Podcasts, Apple Podcasts, Rss Feed, Rss Feed Video, Youtube, Rock Church Online, Apple Tv, Roku, Amazon Fire Tv","Podcast Directory, Other, Streaming Platform, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-rock-church-weekend-messages-w-pastor-miles/id269332038","https://podcasts.apple.com/us/podcast/the-rock-church-weekend-messages-w-pastor-miles/id269332038","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/9e908976-802f-46...","Rock Church (sdrock.com) is a customer of bible.com (YouVersion/Bible App) and simplecast.com. The Bible App has an organization page for ""Rock Church SD"" that references the church and links to sdrock.com. Additionally, Rock Church uses Simplecast for podcast hosting/distribution, as evidenced by their Simplecast-hosted podcast page."
"Rodgers Collective Inc.","Rachel Rodgers","rachelerodgers.com",,,,"Response","Agency","Subscription (membership), One-time payments for courses/programs/events, High-ticket coaching/co...","Subscription (membership), One-time payments for courses/programs/events, High-ticket coaching/consulting/masterminds (transactional), Book retail sales, Speaking/events fees, Affiliate/Donation revenue streams","$1M - $5M",,,,,,"https://www.instagram.com/rachelelizabethrodgers/","1769","TV","{""name"":""Pray.com"",""url"":""https://www.pray.com/rachelerodgers"",""frequency"":null,""marketCity"":null...","Pray Com, Spotify, Apple Podcasts, Youtube, Iheart Prayradio, Omny Prayradio","Streaming Platform, Podcast Directory, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/hello-seven-podcast/id1441242814","https://podcasts.apple.com/us/podcast/hello-seven-podcast/id1441242814","0.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Conclusion (final answer): None found Notes on scope and evidence: All searches used only publicly accessible pages and site-search techniques described in the instructions. I only accepted explicit, unambiguous statements as evidence. The searches produced no such statements linking Rodgers Collective Inc. / rachelerodgers.com to any of the listed companies."
"Roy Edwards Ministries","Roy Edwards","royedwards.org",,,,"Response","Media Ministry","Donations, One-time sales (book/merchandise/affiliate), Event registration / Pay-what-you-can, Fr...","Donations, One-time sales (book/merchandise/affiliate), Event registration / Pay-what-you-can, Freemium (free courses)",,,,,,,"https://www.instagram.com/pastorroye/","Response","Radio","{""name"":""Roy Edwards Ministries (Website) - In The Word"",""url"":""https://www.royedwards.org/in-the...","Roy Edwards Ministries Website In The Word, Podbean, Spotify, Apple Podcasts, Iheart, Player Fm, Amazon Music, Pray Com, Youtube","Online Radio, Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/in-the-word-with-roy-edwards/id1718338809","https://podcasts.apple.com/us/podcast/in-the-word-with-roy-edwards/id1718338809","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched Roy Edwards Ministries' canonical website (royedwards.org) including the home page, About, Podcasts, Give, and Testimonials pages and performed targeted web searches of the listed companies’ domains and general web searches for explicit, verifiable statements linking Roy Edwards Ministries (royedwards.org) to any company in the provided list. I found explicit links to Pray.com (a Pray page for Roy Edwards) and Podbean (podcast host), and the site footer shows the site is ""Powered by Church Plant Media."" I found no explicit statements, logo placements, case studies, testimonials, partner listings, or press releases on royedwards.org or on the inspected listed-company domains that identify Roy Edwards Ministries as a customer or user of any of the specified companies. Based on the searches and site scraping performed, there is no explicit public evidence linking Roy Edwards Ministries (royedwards.org) to any of the companies in the given list. Conclusion: No explicit, authoritative public evidence was found that Roy Edwards Ministries (royedwards.org) is a customer or user of any of the provided companies. The correct extraction result per instructions is: ""None found."""
"RUN Ministries","RUN Ministries","runministries.org","https://www.linkedin.com/company/home-run-ministries-inc","11-50 employees",,"Response","Parachurch organization","Donations/Grants, Transactional, Fundraising events","Donations/Grants, Transactional, Fundraising events",,,,,,"runministries","https://www.instagram.com/runministriesintl/","201","No radio or TV programming details available for RUN Ministries","{""name"":""RUN Ministries (official website) - Podcast"",""url"":""https://www.runministries.org/podcas...","Run Ministries Official Website Podcast","Streaming Platform","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found (Meaning: No explicit public evidence was located that RUN Ministries (runministries.org) is a customer or user of any of the companies in the supplied list.)"
"Samantha Taylor","Samantha Taylor","samanthataylor.com",,,,"Response","Media Ministry","Transactional, Advertising/Sponsorship, Donations/Fundraising, Subscription/Program Fees","Transactional, Advertising/Sponsorship, Donations/Fundraising, Subscription/Program Fees",,,,,,,"https://www.instagram.com/iamsamanthataylor/","644000","Both","{""name"":""YouTube"",""url"":""https://www.youtube.com/@SamanthaTaylor333"",""frequency"":null,""marketCity...","Youtube, Apple Podcasts, Spotify, Pocket Casts","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/sam-taylor-podcast/id1560755687","https://podcasts.apple.com/us/podcast/sam-taylor-podcast/id1560755687","0","Response","Response","{""matchedCompany"":""tct.tv"",""evidenceUrl"":""https://samanthataylor.com/pray.html"",""evidenceSnippet""...","Samantha Taylor (samanthataylor.com) is a customer of TCT (tct.tv). Her TV show is stated to be on the TCT television network. No other explicit, authoritative evidence was found linking Samantha Taylor to any other company in the provided list."
"Second Baptist Church","Dr. Ed Young","winningwalk.org","https://www.linkedin.com/company/willing-walk-ministries","2-10 employees",,"Response","Media Ministry","donations and one-time transactional resource sales","donations and one-time transactional resource sales","$0-$1M",,,,,"http://www.facebook.com/WinningWalk","https://www.instagram.com/winningwalk/","6690","Both","{""name"":""Spreaker"",""url"":""https://www.spreaker.com/podcast/the-winning-walk-with-dr-ed-young-dail...","Spreaker, Apple Podcasts, Spotify, Pray Com, Youtube, The Winning Walk Winningwalk Org Broadcasts Listen, Facebook Winning Walk, Instagram Winningwalk","Streaming Platform, Podcast Directory, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/second-baptist-podcasts/id1355223272","https://podcasts.apple.com/us/podcast/second-baptist-podcasts/id1355223272","0.5","Response","Response","{""matchedCompany"":""tbn.org"",""evidenceUrl"":""https://winningwalk.org/station-finder/tbn-internation...","Second Baptist Church (winningwalk.org) is associated with tbn.org. Explicit evidence was found on winningwalk.org's station-finder page for TBN and on tbn.org's program page for The Winning Walk. The winningwalk.org about page also confirms that The Winning Walk broadcast ministry originates from Second Baptist Church."
"Second Baptist Church, Houston, TX","Dr. Ed Young","second.org","https://www.linkedin.com/company/secondbaptist","1,001-5,000 employees","Second Baptist Church is one church in multiple locations, located in Houston, Texas. Dr. Ben Young is the Senior Pastor.

Affiliated Websites:
www.second.org
www.facebook.com/SBCHouston
www.youtube.com/SBCHouston","Response","Church","Donations, Event fees/Ticketing, Membership/Tuition","Donations, Event fees/Ticketing, Membership/Tuition","$500M - $1B","Dr. Ben Young",80000,"Baptist",6,"sbchouston","https://www.instagram.com/sbchouston/","11800","Both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/second-baptist-church-houst...","Apple Podcasts, Spotify, Amazon Music Podcasts, Podbean Official Podcast Host, Iheartradio Podcast, Tunein, Youtube, Edifi Player, Podbean Rss Feed, Podbean Ben Young Daily Podcast, Second Baptist Church App Ios, Second Baptist Church App Android","Podcast Directory, Streaming Platform, Online Radio, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/second-baptist-church-houston-9-30/id308162446","https://podcasts.apple.com/us/podcast/second-baptist-church-houston-9-30/id308162446","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/organizations/1320b409-16e0-43...","Second Baptist Church, Houston, TX (second.org) is a customer of bible.com and pushpay.com. No explicit evidence was found linking Second Baptist Church, Houston (second.org) to any of the other companies in the provided list after checking second.org, vendor customer/partner pages, case studies, and press releases."
"Shadow Mountain Community Church","W Publishling","shadowmountain.org","https://www.linkedin.com/company/shadow-mountain-church","11-50 employees","Shadow Mountain Community Church is an evangelical church pastored by Dr. David Jeremiah and is located in El Cajon, California, San Diego County. We are a church dedicated to teaching the truth of God's Word.","Response","Church","Donations, Transactional, Subscription","Donations, Transactional, Subscription","$1M - $5M","David Jeremiah",,"Southern Baptist",8,"http://www.facebook.com/smcconline","https://www.instagram.com/shadowmountaincc/","12000","Radio and TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/shadow-mountain-community-c...","Apple Podcasts, Youtube, Shadow Mountain Community Church, Shadow Mountain Community Church, Shadow Mountain Community Church, Spotify, Spotify, Amazon Music, Shadow Mountain Community Church, Podcast Republic","Podcast Directory, Streaming Platform, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/shadow-mountain-community-church/id1847734247","https://podcasts.apple.com/us/podcast/shadow-mountain-community-church/id1847734247","1.2","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://shadowmountain.org/give"",""evidenceSnippet""...","Shadow Mountain Community Church is a customer of pushpay.com. No explicit evidence was found for the other listed companies."
"Significant Church Network","Jim Graff","significantchurch.com",,,,"Response","Parachurch organization","Subscription, Freemium, Donations, Transactional","Subscription, Freemium, Donations, Transactional",,,,,,"http://www.facebook.com/SignificantChurch","https://www.instagram.com/significantchurch/","651","TV, Radio","{""name"":""Significant Church Network Site"",""url"":""https://significantchurch.com/slpodcast/"",""frequ...","Significant Church Network Site, Apple Podcasts, Spotify, Amazon Music, Youtube","Other, Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/significant-leader-podcast/id1809240346","https://podcasts.apple.com/us/podcast/significant-leader-podcast/id1809240346","0.2","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found."
"Silas Radio and Television","David Lankford","silasradio.com",,,,"Response","Agency","Not found","Not found",,,,,,,,,"Both","{""name"":""noResults"",""url"":null,""frequency"":null,""marketCity"":null,""channelType"":""other"",""showOrCh...","Noresults","Other","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No customer relationships were found between Silas Radio and Television and the listed companies."
"Skyline Church","Dr. Jeremy McGarity","skylinechurch.org","https://www.linkedin.com/company/skyline-church","51-200 employees","SKYLINE CHURCH is a religious institutions company based out of 661 E 24TH ST, HOLLAND, Michigan, United States.","Response","Church","Donations/Contributions, Grants (potential/unspecified), Fundraising/Events","Donations/Contributions, Grants (potential/unspecified), Fundraising/Events","$10M - $25M","Jeremy McGarity",2500,"Wesleyan Church",2,"http://www.facebook.com/pages/Skyline-Church/133205780057483","https://www.instagram.com/skylinechurch/","20600","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/skyline-church-sermons/id14...","Apple Podcasts, Spotify, Spotify, Youtube, Subsplash App Ios, Subsplash App Android, Rightnow Media, Skyline Church Online","Podcast Directory, Streaming Platform, Mobile App, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/skyline-church-sermons/id1468031713","https://podcasts.apple.com/us/podcast/skyline-church-sermons/id1468031713","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched Skyline Church (skylinechurch.org) site pages and performed targeted vendor-domain and general web searches for explicit, public evidence that Skyline Church (domain skylinechurch.org) is a customer/user/partner of any of the listed companies. I did not find any explicit statements, case studies, logo listings, testimonials, partner directories, or press releases that clearly associate Skyline Church (skylinechurch.org) with any of the companies in the provided list. Based on the searches and page scrapes performed, no matches were found. Final finding: None found"
"Skyline Church","Dr. Jeremy McGarity","jeremymcgarity.com",,,,"Response","Media Ministry","Donations (Giving), One-time product sales (Books/retail royalties), Transactional (Paid speaking...","Donations (Giving), One-time product sales (Books/retail royalties), Transactional (Paid speaking/events)","$10M - $25M",,,,,,"https://www.instagram.com/jeremy_mcgarity/","5338","No radio or TV programming details available for Skyline Church","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/skyline-church-sermons/id14...","Apple Podcasts, Spotify, Youtube, Skyline Church Website, Spotify, Skyline Church App Ios, Skyline Church App Android, Buzzsprout","Podcast Directory, Streaming Platform, Online Radio, Mobile App","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/skyline-church-sermons/id1468031713","https://podcasts.apple.com/us/podcast/skyline-church-sermons/id1468031713","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","None found."
"Southwest Radio Ministries","Southwest Radio Ministries","swrc.com","https://www.linkedin.com/company/sound-west-realty-capital","11-50 employees","Real Estate","Response","Media Ministry","Donations, Grants/fundraising","Donations, Grants/fundraising","$1M - $5M",,,,,"http://www.facebook.com/pages/Southwest-Radio-Church/114850981881441","No confirmed official Instagram profile for Sound West Realty Capital was found; the information is unavailable.","Response","Both","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/4On1wJNuZGu8FMvByc64e4"",""frequency"":null,""...","Spotify, Apple Podcasts, Iheart, Oneplace, Sermonaudio, Youtube, Rumble, Tunein, Southwest Radio Church App Ios, Southwest Radio Church App Android, W273aj, Katb, K210dy, Kgnw","Streaming Platform, Podcast Directory, Online Radio, Mobile App, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/watchman-on-the-wall/id1574672316","https://podcasts.apple.com/us/podcast/watchman-on-the-wall/id1574672316","1.7","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No matches found. Based on the site-level searches of swrc.com and targeted searches of vendor sites and news sources, there is no explicit, authoritative public evidence that Southwest Radio Ministries (swrc.com) is a customer of any company in the provided list."
"Terradez Ministries","Zach Terradez","terradez.com",,,,"Response","Media Ministry","Donations, Transactional","Donations, Transactional","$5M - $10M",,,,,"http://www.facebook.com/TerradezMinistries","https://www.instagram.com/terradezministries/","12600","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/terradez-ministries-event-t...","Apple Podcasts, Spotify, Spotify, Spotify, Amazon Music, Iheart, Youtube, Terradez Ministries Official Site, Terradez Ministries Official Site, Terradez Ministries Official Site, Android, Android, Android, Terradez Ministries Official Site, Terradez Ministries Official Site, Terradez Ministries Official Site, Terradez Ministries Official Site","Podcast Directory, Streaming Platform, Other, Mobile App, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/terradez-ministries-event-teachings/id1455152949","https://podcasts.apple.com/us/podcast/terradez-ministries-event-teachings/id1455152949","0.7","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Terradez Ministries is not found to be a customer or user of any of the specified companies (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, tbn.org) based on a review of its public web presence. While the site indicates partnerships, such as with FreeWill for legacy giving and a text-to-give option, no explicit evidence linking Terradez Ministries to any of the listed companies was found."
